Gene	C1	C2	C3	T1	T2	T3
SNORD121A	7	0	0	0	3	0
HTR7	5	3	2	3	4	6
EXOC3-AS1	66	66	48	96	60	48
COL13A1	1	3	0	3	0	5
BNC2-AS1	9	4	11	6	17	1
DHFR	776	903	921	698	1039	770
DCLRE1CP1	0	0	1	1	0	2
MBIP	342	353	370	310	406	275
FBXO38	645	825	705	751	791	764
FBXO36	161	185	189	251	201	292
HTR1B	0	2	0	0	0	0
FBXO34	469	599	505	686	758	687
FBXO33	189	241	237	170	280	230
FBXO30	387	356	382	292	768	441
FAM90A1	7	10	5	26	15	20
FBXO31	1087	1085	884	1497	1134	911
HTR2B	0	2	0	0	0	0
HCFC1-AS1	0	2	0	2	0	0
VPS13C	901	1355	1392	919	1873	1824
DHPS	748	746	752	1169	994	986
VPS13D	907	1402	1411	1432	1724	2300
HTR3C	0	1	0	8	1	0
VPS13A	1426	1913	1991	1088	2722	2984
HTR3D	0	2	0	0	3	1
VPS13B	782	1318	1261	899	1463	1426
HTR3B	2	1	1	0	2	0
IL2RG	3	1	1	4	3	2
GPKOW	582	562	494	657	489	443
HTR5A	1	0	0	0	1	2
IL2RB	2	1	1	4	0	5
PEX26	819	1000	873	1088	985	951
ZNF542P	434	515	529	406	464	159
CRISPLD1	63	77	93	44	59	55
CRISPLD2	17	13	23	17	35	109
DHX8	1368	1694	1566	1356	1568	1566
IL36G	1	4	0	4	3	0
PEX5L	3	0	2	1	1	5
MC1R	83	134	89	157	181	85
ZHX3	569	736	736	997	859	942
CACYBP	2361	1746	2189	1113	1960	1615
ZHX1	422	485	435	305	422	328
RNF144A	356	495	510	778	1004	995
RNF144B	12	15	7	20	31	26
PEX14	666	592	588	661	516	485
MC5R	4	2	0	4	8	3
RN7SL559P	0	1	2	0	0	0
INPPL1	2351	2581	2244	2955	2623	2308
PPIP5K1	377	340	312	650	394	513
PPIP5K2	1306	1271	1435	559	1556	1075
MIR6129	0	0	0	0	0	2
SNORA59A	2	3	0	1	5	2
SNORA59B	1	4	2	5	9	6
RN7SL558P	1	1	1	0	2	2
DHDDS	1264	1457	1369	1392	1063	825
RBMS2P1	7	16	6	2	8	7
HTRA3	0	0	0	2	0	6
HTRA2	519	438	406	574	393	399
HULC	2	3	0	0	0	2
ZNF350-AS1	3	2	11	9	9	4
CHCHD10	5	1	2	3	3	2
IGF2R	2439	3143	2971	5871	5039	5035
OR7M1P	5	1	3	0	1	3
ZIC2	106	161	113	112	142	133
ZIC1	10	22	15	7	16	11
RNU6-646P	1	0	0	1	2	7
HUNK	65	95	87	146	94	111
IGHV2OR16-5	2	2	1	2	2	3
RPL36AP15	3	4	1	1	4	1
SCN11A	0	8	0	4	0	2
HUS1	226	302	255	171	301	214
SCN10A	0	1	1	1	1	2
RN7SL574P	0	0	0	2	2	5
SRFBP1	170	168	223	92	236	171
SNORA50A	0	1	7	0	5	6
RRP7A	1630	1490	1371	1522	1119	893
C3orf18	285	345	311	513	415	581
C3orf14	491	489	484	343	378	315
MCAT	486	340	379	403	309	230
ZNF559-ZNF177	4	1	3	1	6	3
RNU6-667P	0	1	2	0	0	0
MOCS2	791	773	805	570	610	563
MOCS3	282	334	292	395	331	263
FGD5-AS1	1754	2106	2029	1968	2480	2220
MCEE	42	56	31	37	49	71
RRP12	2563	2289	2137	2972	2119	1326
RRP15	705	637	666	358	517	339
ZIK1	15	4	7	1	2	1
CT45A10	23	22	23	26	8	17
MIR4659A	2	2	4	0	0	4
RRP1B	3191	3923	3517	2676	2973	2047
HERC2P10	6	12	4	13	11	9
HERC2P11	1	0	1	3	2	1
RBMS1P1	6	5	7	11	6	4
DIO1	1	0	0	2	1	1
FAM91A1	669	791	809	654	1221	783
GLUD1P2	5	4	2	12	7	13
HTR1D	8	11	12	56	32	46
FBXO32	7	14	11	34	44	40
DHX9	8092	9317	9593	3214	4984	3778
ZHX2	64	113	95	322	183	166
IGF1R	232	351	266	541	566	874
HTRA1	8	10	8	46	18	123
MCAM	28	69	45	215	148	387
DNM3OS	64	63	80	9	35	12
QPCT	16	12	8	52	23	60
C3orf70	1	0	0	10	6	14
C3orf80	0	0	4	29	9	7
PNPT1	1215	1235	1321	500	933	686
C3orf52	42	65	53	113	128	177
MT-ND6	2170	3134	2915	642	651	594
GRID2IP	9	15	30	90	56	121
C5	47	74	51	174	178	298
ACTL6B	30	32	14	78	47	73
F5	6	9	10	18	28	44
TGIF2LX	61	53	54	18	20	18
MDFI	65	74	82	280	138	225
HLA-DMA	11	25	10	49	50	67
HR	0	1	3	29	6	23
HLA-DOA	14	23	12	62	23	72
PABPC1L	3148	3437	3213	9711	6152	7612
MST1L	22	19	17	64	57	53
CLYBL	66	60	77	100	145	253
ALS2CL	38	43	35	239	94	345
SNORA73B	56	80	55	17	39	19
DKK1	74	69	58	31	30	16
DKK3	244	326	342	995	776	1591
MEG3	107	63	72	2	3	8
MEI1	7	3	3	20	27	25
IGFL4	5	12	8	28	16	44
RPUSD1	1240	974	936	791	648	362
SDR9C7	0	0	0	3	4	12
DLL1	20	18	24	54	53	121
DLL4	3	8	1	20	14	36
NOC2L	5253	4977	4502	3474	2931	1977
RABL3	388	500	457	176	308	245
MT-TS1	60	70	50	30	17	13
PANX2	72	109	102	343	223	333
SLC7A8	88	73	91	230	154	377
RAPGEF4-AS1	0	0	0	8	4	7
DLX4	129	141	104	397	261	416
CORO2A	143	181	142	351	228	566
CORO2B	5	8	6	34	17	55
CDC20	5677	5003	4497	3187	2702	2283
TRIB3	516	448	383	6320	2743	1862
TRIB2	74	152	137	43	50	99
BCDIN3D-AS1	16	26	20	69	55	66
TIMP3	216	309	265	656	431	837
TIMP1	2496	1768	1604	1331	995	667
MGLL	3	2	5	23	17	24
LBHD1	127	141	112	272	473	195
RAB37	13	4	3	68	20	88
URAHP	0	1	1	26	7	12
RAB26	58	67	44	198	148	435
PSAT1	2146	2295	2400	5930	6532	5161
RAB13	68	100	67	316	250	273
CALML6	32	34	39	251	154	154
MIR548XHG	13	7	10	0	0	0
DUOX2	5	7	2	41	19	31
DNM1	393	483	447	1360	1089	2410
DNM3	128	130	126	16	61	43
GPR75	114	117	101	36	67	28
GTF3C6	1378	1101	1223	489	716	349
PAQR8	148	178	160	334	341	533
PAQR5	66	95	91	172	128	422
CFL1P1	15	21	21	96	62	71
MIB2	305	299	256	737	655	662
MIAT	34	32	20	287	158	917
ITPKB	12	20	24	168	147	107
CHRNE	15	7	10	36	23	42
MIR4527HG	23	17	6	1	1	2
SEMA5A	45	65	72	110	154	179
SEMA5B	5	5	7	64	24	117
CHRM4	25	31	22	95	96	153
SEMA6B	393	443	386	1237	976	1621
ITPR3	375	501	462	1141	948	1580
HYDIN	6	10	13	34	21	40
PTP4A3	94	78	89	464	254	318
TIPIN	736	676	669	329	431	341
NAALAD2	4	1	0	3	17	27
PAPLN	2	12	5	32	16	68
C14orf132	318	538	439	931	761	1736
BZW1P2	36	24	30	14	14	7
REPS2	18	35	23	66	83	147
DUSP8P3	0	0	3	12	11	11
CHST8	69	70	69	138	109	240
CHST6	9	12	19	49	46	82
DUSP9	21	12	22	129	88	180
CHST1	11	16	19	134	65	263
ICAM5	59	43	35	158	85	227
KIAA1324L	299	424	369	797	839	1055
ACOT11	19	12	10	57	37	37
WDR86	34	56	49	255	204	380
WDR77	766	766	694	463	442	299
WDR31	53	97	76	222	163	252
HS6ST3	27	47	41	88	84	144
MFSD6	122	161	86	437	300	480
CDH10	447	604	576	93	106	94
CDH19	138	131	160	21	34	15
DNTTIP2	1723	1123	1533	471	1238	829
SEPT14P24	7	7	3	0	0	0
