"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-ND6",1970.7723907883,-2.84240477576984,0.220647530367942,-12.8821055510115,5.67654922351549e-38,5.10889430116394e-36
"CDH10",380.35154162335,-3.19512602612057,0.247354388479487,-12.9171996735588,3.60006800483021e-38,5.10889430116394e-36
"CDH19",100.240659533492,-3.33634456041972,0.377619166575382,-8.83520979794786,9.9910575125495e-19,5.9946345075297e-17
"MEG3",53.5368805903147,-4.97934340196588,0.572198295784354,-8.70212903227951,3.25714937848576e-18,1.46571722031859e-16
"DHX9",7248.90002145618,-1.8925366626104,0.247963863545717,-7.63230833536948,2.305871250408e-14,8.30113650146881e-13
"CDC20",4270.82892207389,-1.62504552180329,0.240640872031199,-6.75299049611406,1.44828431646637e-11,4.34485294939911e-10
"TIPIN",583.238150594677,-1.64662931805656,0.246182005907991,-6.68866642784597,2.25213423882417e-11,5.79120232840502e-10
"MIAT",186.162252705029,3.20569195982228,0.499934815042346,6.41221988020727,1.4341578304242e-10,3.22685511845445e-09
"GTF3C6",990.189564854732,-1.97197840646649,0.311369920105681,-6.33323349216643,2.40075823295225e-10,4.8015164659045e-09
"WDR77",626.464983679797,-1.60914956694967,0.262471342876715,-6.13076288372364,8.74586725418501e-10,1.5742561057533e-08
"TRIB3",1685.06347859194,2.28881556205013,0.382329093729328,5.98650638831716,2.14396171927046e-09,3.50830099516985e-08
"NOC2L",4202.25494080896,-1.53798833239093,0.268321950542391,-5.73187668501223,9.93254760051862e-09,1.21882159398376e-07
"RABL3",377.167330646429,-1.6008814947639,0.278037596755526,-5.75778784396387,8.52233688711674e-09,1.21882159398376e-07
"DNM3",96.8575913313102,-2.39847668135664,0.41706112475399,-5.75089966194144,8.87697899979099e-09,1.21882159398376e-07
"WDR86",134.850988849723,1.85561167501881,0.323949536403017,5.72808868820326,1.01568466165313e-08,1.21882159398376e-07
"TGIF2LX",42.8921593574955,-2.319943884448,0.408564355759046,-5.67828262976568,1.36053783010852e-08,1.53060505887208e-07
"PNPT1",1072.1370947878,-1.55356094562612,0.279404029303884,-5.56026679177358,2.69362564671706e-08,2.85207421417101e-07
