GeneName	log2FC
AMER1	1.077740483
C3orf67	1.04368477
C3orf62	-1.328638364
C3orf85	-1.647903421
C3orf58	1.024275075
C7	4.096665523
FLJ22447	1.18068895
HR	2.490221218
GGT4P	-2.958707328
RNFT2	-1.2351803
DHFR2	1.138116341
TG	2.282757135
HYAL3	1.032528366
MIR99AHG	1.256766759
DKK1	-1.820700074
MED6	-1.147528589
MEG3	2.29729084
MEFV	-2.010133035
TREM1	2.186493228
FKBP9P1	1.188358356
MESD	1.237173165
MEST	1.775241697
HIST1H3C	-3.114987208
IGFN1	2.589235168
DLG5	1.096910049
PALM3	4.472112205
DLX5	1.100984286
SLC14A1	1.067009184
CORO2A	1.000364855
TRIB3	-1.705880462
