GeneID	Length	Control-1	Control-2	Control-3	Treatment-1	Treatment-2	Treatment-3	logFC	Pvalue	FDR
novel.10927	981	2.42	2.23	2.92	6.55	5.81	4.92	1.10709954156517	3.82548188466332e-07	1.18462854201334e-06
Rsa10028131	1633	49.39	49.94	48.38	1.38	1.81	1.83	-4.97733791853612	0	0
novel.11943	3543	0.52	0.66	0.70	2.30	2.12	1.91	1.61200469301624	5.6406217529764e-18	3.31539758835413e-17
Rsa10005191	2265	0.00	0.00	0.00	0.08	0.05	0.11	1.43132942582791	0.0199793461137695	0.035189488076098
novel.3811	1107	0.00	0.00	0.00	4.74	4.55	4.33	5.22357941511957	4.06079230872431e-23	2.95592738090518e-22
Rsa10014819	980	11.19	11.74	10.91	0.15	0.19	0.08	-5.61819534145919	2.02255060983731e-45	2.75740348494149e-44
novel.28168	311	0.62	2.24	3.23	0.00	0.00	0.62	-1.38198570859611	0.0281077402664833	0.048092210858696
Rsa10030903	1438	3.17	2.70	3.12	9.12	9.41	9.47	1.51844704167188	3.43708984786813e-26	2.77956276284219e-25
Rsa10002161	453	8.03	4.73	6.74	0.41	0.40	1.21	-2.84155180431364	7.30580317111651e-09	2.57412266776816e-08
Rsa10024909	1368	2.13	1.88	2.56	0.29	0.23	0.20	-2.91248244105705	1.14329637886318e-14	5.70608153739317e-14
Rsa10039284	558	50.26	48.25	47.28	157.26	153.79	155.41	1.57186727354216	2.82703556779799e-113	1.00997489284913e-111
Rsa10033732	906	29.55	25.29	27.34	10.68	10.62	9.08	-1.52491201005835	7.86450043738977e-44	1.03401622491597e-42
novel.2674	1617	1.92	2.20	2.23	0.67	0.68	0.37	-1.86922987791625	4.14765908757185e-11	1.69008856507371e-10
Rsa10013436	711	0.74	0.89	0.52	0.12	0.34	0.12	-1.31596810889503	0.0262211851237411	0.0451256773022619
Rsa10012666	752	11.94	13.24	13.82	0.00	0.00	0.00	-6.36093865797366	6.73440728158475e-38	7.66098671946867e-37
Rsa10018333	351	17.51	15.04	15.94	4.41	2.55	5.52	-1.92237454659699	1.40670357171874e-08	4.84611147038555e-08
Rsa10006704	528	6.04	6.57	4.85	13.91	15.07	16.69	1.23294413506321	1.4068339089457e-08	4.84612577568031e-08
Rsa10037974	456	2.76	1.92	0.83	0.25	0.00	0.00	-2.16136717886666	0.000506020112370798	0.00114134623924358
novel.17903	399	1.73	1.89	1.82	0.00	0.32	0.69	-1.50942710191183	0.0137011201701795	0.0248802080540802
novel.14667	943	1.48	1.42	1.21	4.67	4.95	4.38	1.58459614324984	2.26909978683265e-09	8.27271476298726e-09
Rsa10030773	651	0.00	0.00	0.00	0.54	0.39	0.42	1.53825415926918	0.0132073009585657	0.0240733931330667
Rsa10008421	924	0.00	0.00	0.00	0.80	0.46	0.58	2.47227548878649	7.75153931835934e-05	0.000191618091865081
Rsa10030285	1122	0.00	0.00	0.14	0.37	0.48	0.26	1.61606782435675	0.00911027064452844	0.0170689796127971
novel.27863	1209	9.02	8.90	7.84	0.00	0.00	0.00	-6.39370770228958	2.11575791349496e-38	2.44231087068753e-37
Rsa10016867	1362	0.00	0.00	0.00	18.19	18.40	19.15	7.31695907236678	1.13869284253402e-54	1.89806851638537e-53
Rsa10001173	2709	0.02	0.00	0.00	0.35	0.20	0.16	2.48125864998366	4.37513961726847e-05	0.000110967664113853
Rsa10037256	1441	3.45	3.31	2.79	0.00	0.00	0.00	-5.26505338431083	1.80165604731899e-23	1.33062693264012e-22
Rsa10005425	631	9.82	9.84	9.67	4.93	4.48	5.43	-1.06024507123068	6.19961503564077e-07	1.88830371515413e-06
Rsa10016679	769	3.55	3.68	3.96	0.52	0.60	0.43	-2.6088596599027	1.94565134354923e-11	8.10441863872107e-11
Rsa10013433	1461	7.00	7.85	9.04	3.34	2.87	3.11	-1.4265706043325	1.62141206558382e-22	1.15251398072823e-21
Rsa10030169	2859	0.84	0.64	0.56	38.76	41.01	40.03	5.83462089463058	0	0
Rsa10038243	531	11.55	12.10	12.11	0.19	0.00	0.00	-5.05425193787327	1.96039346929747e-23	1.4445301455942e-22
Rsa10016141	189	37.59	26.23	33.35	17.85	14.34	6.20	-1.26190082886945	0.00983208256118607	0.018316814492474
Rsa10020514	1341	2.20	2.04	1.92	0.40	0.29	0.41	-2.37833512490891	8.8317551463341e-12	3.75743388052466e-11
