test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
1/2-SBSRNA4	1/2-SBSRNA4	1/2-SBSRNA4	chr4:110351118-110461615	KO1_WT	KO1_Pus1	OK	1.24711	1.42583	0.193212	0.0948653	0.88065	0.934519	no
A1BG	A1BG	A1BG	chr19:58858171-58874214	KO1_WT	KO1_Pus1	OK	3.6217	2.39163	-0.59867	-1.29323	0.06805	0.16406	no
A1BG-AS1	A1BG-AS1	A1BG-AS1	chr19:58858171-58874214	KO1_WT	KO1_Pus1	OK	3.8018	2.37219	-0.680465	-1.40086	0.04615	0.122701	no
A1CF	A1CF	A1CF	chr10:52559168-52645435	KO1_WT	KO1_Pus1	NOTEST	0.0364009	0.0606496	0.736525	0	1	1	no
A2LD1	A2LD1	A2LD1	chr13:100741268-101241046	KO1_WT	KO1_Pus1	OK	1.43361	1.46873	0.0349221	0.0549001	0.94	0.966758	no
A2M	A2M	A2M	chr12:9217772-9268558	KO1_WT	KO1_Pus1	NOTEST	0.0169048	0.00673481	-1.32772	0	1	1	no
A2ML1	A2ML1	A2ML1	chr12:8975149-9029381	KO1_WT	KO1_Pus1	NOTEST	0	0.00836889	inf	0	1	1	no
A2MP1	A2MP1	A2MP1	chr12:9381128-9386803	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
A4GALT	A4GALT	A4GALT	chr22:43088126-43116876	KO1_WT	KO1_Pus1	OK	0.948583	1.01069	0.0914908	0.203369	0.77615	0.872706	no
A4GNT	A4GNT	A4GNT	chr3:137842559-137851229	KO1_WT	KO1_Pus1	NOTEST	0	0.0200918	inf	0	1	1	no
AA06	AA06	AA06	chr17:31340105-32483825	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
AAA1	AAA1	AAA1	chr7:34386123-34917944	KO1_WT	KO1_Pus1	NOTEST	0.0291566	0.0479021	0.716268	0	1	1	no
AAAS	AAAS	AAAS	chr12:53701239-53715412	KO1_WT	KO1_Pus1	OK	35.4197	43.1271	0.284043	1.4491	0.0376	0.104842	no
AACS	AACS	AACS	chr12:125549924-125627871	KO1_WT	KO1_Pus1	OK	9.16541	9.30404	0.0216586	0.10288	0.88625	0.93685	no
AACSP1	AACSP1	AACSP1	chr5:178191863-178203277	KO1_WT	KO1_Pus1	NOTEST	0.0256148	0	-inf	0	1	1	no
AADAC	AADAC	AADAC	chr3:151347319-151546276	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
AADACL2	AADACL2	AADACL2	chr3:151347319-151546276	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
